,mae,r_sq,coef
0,MAE:  ,R^2:  ,coefficient:  
1,0.113163723653433,0.35560899216931097,"[ 6.49463688e-06 -3.75994662e-03 -8.07130399e-03  5.79547566e-03
 -3.88601322e-03 -1.83194300e-03  4.15864062e-04 -1.75059799e-04
 -1.47249611e-03 -4.33890711e-04  6.83711359e-04 -4.95328104e-05
  4.39940999e-04  6.80460264e-04  1.33450989e-04 -8.13130179e-05
  7.07981115e-04 -1.87254241e-03 -2.76657488e-03  4.28708759e-04
 -2.39948424e-03  1.34323105e-03 -5.90956435e-04  4.83941511e-04
 -2.42427172e-03 -6.21107137e-04 -2.24200418e-04 -1.08816897e-04
  7.56557418e-04 -1.64317676e-04 -3.18539276e-04  1.90381838e-04
  2.57448759e-03  8.53104934e-04  2.70561276e-03 -5.78067852e-04
 -6.76873682e-04  5.49824601e-04  5.22921207e-04 -8.19644845e-04
 -2.54719519e-04  7.38867180e-04 -3.67592449e-04  1.11673034e-03
  5.72078835e-04 -1.37254652e-04  6.43304536e-04  5.86808374e-04
 -2.02675560e-03  6.63556698e-04 -9.16185769e-04  7.49380602e-04
  6.28999930e-05 -1.92991846e-04  1.18122684e-03  1.07799583e-03
 -1.52649597e-03  1.00225548e-03  8.64690267e-04 -7.17793181e-05
 -3.70171893e-04 -4.36758655e-04 -3.79062431e-04  3.80196410e-04
  4.74434627e-04 -2.20462290e-03 -9.49737046e-05 -7.58271408e-04
 -1.64726684e-03 -7.79105229e-04  4.71755639e-04 -7.29761639e-04
 -4.19711244e-04  6.60807798e-05  2.39506742e-04  1.05015397e-03
  6.01104437e-05  1.21636984e-03  6.11114424e-04 -8.02334586e-04
  1.11420732e-04  2.39840408e-04 -1.76040205e-05 -5.79056771e-04
 -2.44130442e-04 -1.99246216e-04 -1.61822179e-04  8.59485844e-04
  5.69448586e-04  1.51494180e-03  5.22791323e-04]"
